UNPLANNED_DOWNTIME,PLANNED_DOWNTIME,TOTAL_COUNT,GOOD_COUNT,REJECTED_COUNT,RUNTIME,ACTUAL_CYCLE_TIME,TS
false,false,3,2,1,94,00:00:31.000,2025-04-14 10:27:19.945
false,true,24,22,2,0,00:00:00.000,2025-04-14 10:28:13.980
false,false,54,50,4,158,00:00:33.000,2025-04-14 10:29:26.034
false,false,68,64,4,601,00:00:33.000,2025-04-14 10:29:54.054
false,true,70,66,4,0,00:00:00.000,2025-04-14 10:30:02.061
false,true,74,70,4,0,00:00:00.000,2025-04-14 10:30:20.071
false,false,99,94,5,667,00:00:33.000,2025-04-14 10:31:32.120
false,false,114,109,5,1138,00:00:30.000,2025-04-14 10:32:02.146
false,false,115,110,5,1170,00:00:32.000,2025-04-14 10:32:04.146
false,false,136,131,5,32,00:00:32.000,2025-04-14 10:32:58.189
false,false,141,136,5,194,00:00:33.000,2025-04-14 10:33:08.200
false,true,156,151,5,0,00:00:00.000,2025-04-14 10:34:04.231
false,true,180,171,9,0,00:00:00.000,2025-04-14 10:35:12.281
false,false,178,170,8,691,00:00:33.000,2025-04-14 10:34:58.273
false,false,23,21,2,719,00:00:30.000,2025-04-14 10:27:59.976
false,false,13,12,1,403,00:00:31.000,2025-04-14 10:27:39.961
false,true,49,45,4,0,00:00:00.000,2025-04-14 10:29:06.022
false,false,61,57,4,377,00:00:31.000,2025-04-14 10:29:40.045
false,false,64,60,4,473,00:00:32.000,2025-04-14 10:29:46.047
false,true,70,66,4,0,00:00:00.000,2025-04-14 10:30:10.064
false,false,72,68,4,62,00:00:30.000,2025-04-14 10:30:14.068
false,false,88,84,4,315,00:00:30.000,2025-04-14 10:31:10.105
false,false,90,86,4,381,00:00:33.000,2025-04-14 10:31:14.110
false,false,103,98,5,789,00:00:30.000,2025-04-14 10:31:40.126
false,false,96,92,4,570,00:00:32.000,2025-04-14 10:31:26.116
false,false,83,79,4,161,00:00:33.000,2025-04-14 10:31:00.099
false,false,122,117,5,1394,00:00:33.000,2025-04-14 10:32:18.158
false,false,140,135,5,161,00:00:33.000,2025-04-14 10:33:06.198
false,false,143,138,5,258,00:00:33.000,2025-04-14 10:33:12.201
false,true,151,146,5,0,00:00:00.000,2025-04-14 10:33:44.222
false,false,177,169,8,658,00:00:30.000,2025-04-14 10:34:56.270
false,true,24,22,2,0,00:00:00.000,2025-04-14 10:28:09.978
false,false,57,53,4,251,00:00:32.000,2025-04-14 10:29:32.044
false,false,51,47,4,64,00:00:31.000,2025-04-14 10:29:20.029
false,false,46,42,4,696,00:00:33.000,2025-04-14 10:28:58.014
false,false,104,99,5,820,00:00:31.000,2025-04-14 10:31:42.127
false,false,97,93,4,603,00:00:33.000,2025-04-14 10:31:28.117
false,false,107,102,5,915,00:00:32.000,2025-04-14 10:31:48.134
false,false,110,105,5,1011,00:00:33.000,2025-04-14 10:31:54.139
false,false,123,118,5,1425,00:00:31.000,2025-04-14 10:32:20.161
false,false,128,123,5,1578,00:00:30.000,2025-04-14 10:32:30.170
false,false,131,126,5,1673,00:00:32.000,2025-04-14 10:32:36.177
false,false,132,127,5,1705,00:00:32.000,2025-04-14 10:32:38.180
false,false,135,130,5,1801,00:00:32.000,2025-04-14 10:32:44.183
false,true,135,130,5,0,00:00:00.000,2025-04-14 10:32:50.185
false,true,151,146,5,0,00:00:00.000,2025-04-14 10:33:46.224
false,false,175,168,7,595,00:00:31.000,2025-04-14 10:34:52.265
false,false,190,180,10,311,00:00:30.000,2025-04-14 10:35:34.299
false,false,1,1,0,33,00:00:33.000,2025-04-14 10:27:15.942
false,false,31,28,3,219,00:00:33.000,2025-04-14 10:28:27.992
false,false,26,24,2,65,00:00:33.000,2025-04-14 10:28:17.984
false,true,24,22,2,0,00:00:00.000,2025-04-14 10:28:07.978
false,true,24,22,2,0,00:00:00.000,2025-04-14 10:28:11.979
false,false,43,39,4,600,00:00:30.000,2025-04-14 10:28:52.011
false,false,65,61,4,505,00:00:32.000,2025-04-14 10:29:48.048
false,false,69,65,4,632,00:00:31.000,2025-04-14 10:29:56.056
false,true,70,66,4,0,00:00:00.000,2025-04-14 10:30:00.060
false,true,74,70,4,0,00:00:00.000,2025-04-14 10:30:22.072
false,false,92,88,4,443,00:00:31.000,2025-04-14 10:31:18.111
false,false,81,77,4,98,00:00:32.000,2025-04-14 10:30:56.096
false,false,108,103,5,947,00:00:32.000,2025-04-14 10:31:50.135
false,false,116,111,5,1200,00:00:30.000,2025-04-14 10:32:06.148
false,false,139,134,5,128,00:00:32.000,2025-04-14 10:33:04.196
false,false,142,137,5,225,00:00:31.000,2025-04-14 10:33:10.201
false,false,146,141,5,351,00:00:31.000,2025-04-14 10:33:18.205
false,true,147,142,5,0,00:00:00.000,2025-04-14 10:33:28.212
false,false,168,161,7,380,00:00:32.000,2025-04-14 10:34:38.258
false,false,189,179,10,281,00:00:31.000,2025-04-14 10:35:32.298
false,false,21,19,2,659,00:00:30.000,2025-04-14 10:27:55.974
false,false,6,5,1,185,00:00:31.000,2025-04-14 10:27:25.952
false,false,16,15,1,500,00:00:33.000,2025-04-14 10:27:45.965
false,false,34,31,3,316,00:00:33.000,2025-04-14 10:28:33.997
false,true,49,45,4,0,00:00:00.000,2025-04-14 10:29:14.026
false,true,70,66,4,0,00:00:00.000,2025-04-14 10:30:04.062
false,true,74,70,4,0,00:00:00.000,2025-04-14 10:30:28.078
false,true,78,74,4,0,00:00:00.000,2025-04-14 10:30:48.090
false,false,94,90,4,506,00:00:33.000,2025-04-14 10:31:22.115
false,false,124,119,5,1455,00:00:30.000,2025-04-14 10:32:22.162
false,false,125,120,5,1485,00:00:30.000,2025-04-14 10:32:24.163
false,false,113,108,5,1108,00:00:33.000,2025-04-14 10:32:00.145
false,true,135,130,5,0,00:00:00.000,2025-04-14 10:32:48.185
false,false,137,132,5,65,00:00:33.000,2025-04-14 10:33:00.192
false,false,149,144,5,63,00:00:32.000,2025-04-14 10:33:36.217
false,true,156,151,5,0,00:00:00.000,2025-04-14 10:34:12.237
false,false,172,165,7,502,00:00:30.000,2025-04-14 10:34:46.262
true,false,47,43,4,728,00:00:32.000,2025-04-14 10:29:00.017
true,false,56,52,4,219,00:00:31.000,2025-04-14 10:29:30.041
true,false,173,166,7,533,00:00:31.000,2025-04-14 10:34:48.264
false,false,158,152,6,65,00:00:32.000,2025-04-14 10:34:18.241
false,false,181,172,9,31,00:00:31.000,2025-04-14 10:35:16.284
false,false,182,173,9,62,00:00:31.000,2025-04-14 10:35:18.286
false,false,22,20,2,689,00:00:30.000,2025-04-14 10:27:57.975
false,false,42,38,4,570,00:00:33.000,2025-04-14 10:28:50.010
